Epoch,Loss,Train,Val,Test
1,3.1203,0.1091,0.0633,0.2155
2,2.6522,0.1138,0.0661,0.2156
3,2.4384,0.1104,0.0456,0.2162
4,2.3864,0.1935,0.0766,0.2398
5,2.3719,0.0595,0.0812,0.0456
6,2.3617,0.1971,0.0696,0.0696
7,2.36,0.1357,0.0835,0.0453
8,2.2802,0.1791,0.0842,0.0588
9,2.2269,0.229,0.1177,0.0807
10,2.2476,0.2507,0.0886,0.2136
11,2.2435,0.2142,0.0899,0.0825
12,2.237,0.1943,0.0936,0.177
13,2.1773,0.2796,0.0944,0.271
14,2.2177,0.1636,0.0956,0.0659
15,2.2085,0.2129,0.0993,0.1103
16,2.1903,0.1887,0.1041,0.2367
17,2.2187,0.232,0.177,0.2512
18,2.174,0.185,0.1152,0.0624
19,2.1606,0.2031,0.1177,0.0767
20,2.1783,0.1975,0.1509,0.2686
21,2.1641,0.1947,0.1314,0.075
22,2.1609,0.3294,0.1369,0.3
23,2.1643,0.2855,0.1638,0.2742
24,2.1605,0.2694,0.1648,0.1509
25,2.1501,0.165,0.1736,0.2265
26,2.2026,0.3434,0.1749,0.1788
27,2.1578,0.1101,0.1921,0.2156
28,2.2084,0.3142,0.2265,0.2583
29,2.1644,0.1643,0.1987,0.241
30,2.1718,0.3211,0.2247,0.2969
31,2.1457,0.2247,0.2275,0.2485
32,2.1336,0.2024,0.1978,0.0688
33,2.1419,0.208,0.2293,0.0681
34,2.1841,0.2056,0.2296,0.2411
35,2.2188,0.1677,0.2512,0.315
36,2.1547,0.2244,0.2306,0.2348
37,2.2042,0.3294,0.2311,0.3073
38,2.1674,0.1915,0.2324,0.2908
39,2.1516,0.3319,0.2324,0.3053
40,2.1737,0.1665,0.2381,0.2271
41,2.1803,0.3059,0.2452,0.2892
42,2.1426,0.2907,0.2297,0.2817
43,2.1388,0.2344,0.2484,0.2205
44,2.1363,0.23,0.2503,0.2484
45,2.1775,0.2128,0.2508,0.2007
46,2.1453,0.2768,0.2542,0.2575
47,2.1555,0.2642,0.3035,0.1725
48,2.1476,0.2965,0.2628,0.2913
49,2.1922,0.3029,0.3035,0.2846
50,2.1444,0.3185,0.2691,0.3035
51,2.1366,0.3654,0.2745,0.3186
52,2.1364,0.2662,0.2745,0.2533
53,2.1327,0.3297,0.2752,0.3022
54,2.125,0.2782,0.2753,0.2686
55,2.168,0.2483,0.2755,0.2498
56,2.1429,0.2561,0.2772,0.1075
57,2.1266,0.1535,0.2782,0.3006
58,2.1668,0.2044,0.2812,0.0632
59,2.1713,0.1915,0.2864,0.2316
60,2.1375,0.3029,0.2871,0.2531
61,2.1452,0.2724,0.2886,0.2724
62,2.1602,0.2618,0.2905,0.244
63,2.1978,0.2293,0.2916,0.2504
64,2.1486,0.338,0.2992,0.2999
65,2.1304,0.3781,0.3014,0.3776
66,2.1233,0.2559,0.2905,0.2234
67,2.139,0.1962,0.3031,0.06
68,2.1231,0.2724,0.3037,0.2719
69,2.166,0.2378,0.3062,0.2563
70,2.1287,0.3845,0.308,0.2985
71,2.1202,0.1187,0.3096,0.2173
72,2.1604,0.0707,0.3112,0.0704
73,2.1346,0.1341,0.3117,0.2333
74,2.2091,0.2832,0.3192,0.3275
75,2.1374,0.2083,0.3211,0.0762
76,2.1251,0.3594,0.3225,0.3104
77,2.1416,0.1268,0.323,0.2175
78,2.188,0.2326,0.3232,0.0896
79,2.1425,0.1818,0.328,0.063
80,2.1217,0.2505,0.3289,0.2567
81,2.1529,0.3472,0.3348,0.3111
82,2.1232,0.426,0.3356,0.3567
83,2.0862,0.2651,0.3372,0.1232
84,2.0858,0.3359,0.3385,0.3043
85,2.0795,0.2014,0.3385,0.0718
86,2.0895,0.2695,0.3398,0.1951
87,2.0771,0.3691,0.3438,0.381
88,2.093,0.3897,0.3444,0.3215
89,2.0824,0.3535,0.348,0.2669
90,2.083,0.3741,0.3494,0.3242
91,2.0766,0.3086,0.35,0.2884
92,2.0865,0.3322,0.3549,0.2998
93,2.1131,0.3584,0.3566,0.3305
94,2.0811,0.3577,0.3581,0.3167
95,2.0958,0.3215,0.3605,0.2779
96,2.1085,0.3071,0.3638,0.1505
97,2.1032,0.3297,0.3674,0.2915
98,2.0888,0.2889,0.3978,0.1255
99,2.0916,0.3024,0.4075,0.1245
100,2.083,0.2091,0.4182,0.0783
