epoch,step,val/acc
0,22,0.265936947
1,45,0.288124359
2,68,0.298063374
3,91,0.269808453
4,114,0.341203644
5,137,0.371815009
6,160,0.398605001
7,183,0.376354737
8,206,0.392320635
9,229,0.419199498
10,252,0.402527285
11,275,0.472946842
12,298,0.470667138
13,321,0.505518782
14,344,0.527307696
15,367,0.535415905
16,390,0.539376931
17,413,0.546502497
18,436,0.492220132
19,459,0.558437502
20,482,0.576367016
21,505,0.573539312
22,528,0.570911989
23,551,0.504293728
24,574,0.558423436
25,597,0.570883975
26,620,0.587994223
27,643,0.585075076
28,666,0.583586628
29,689,0.579637761
30,712,0.572685595
31,735,0.592964952
32,758,0.623264704
33,781,0.608708107
34,804,0.610768282
35,827,0.627471967
36,850,0.63322751
37,873,0.641393545
38,896,0.649949791
39,919,0.652344408
40,942,0.664666426
41,965,0.659164548
42,988,0.661690187
43,1011,0.673419557
44,1034,0.683564575
45,1057,0.694279771
46,1080,0.714990675
47,1103,0.711895406
48,1126,0.712999284
49,1149,0.714030862
50,1172,0.711460829
51,1195,0.712337554
52,1218,0.714304686
53,1241,0.710465014
54,1264,0.712880135
55,1287,0.71685034
56,1310,0.716572106
57,1333,0.708133817
58,1356,0.707721531
59,1379,0.707791388
60,1402,0.711403847
61,1425,0.706673265
62,1448,0.713931143
63,1471,0.709231734
64,1494,0.715539455
65,1517,0.714712262
66,1540,0.708432794
67,1563,0.710071206
68,1586,0.707634747
69,1609,0.705201626
70,1632,0.714363039
71,1655,0.707609773
72,1678,0.708028793
73,1701,0.713118732
74,1724,0.711026728
75,1747,0.698667467
76,1770,0.68680948
77,1793,0.714967608
78,1816,0.707292676
79,1839,0.712178171
80,1862,0.713407159
81,1885,0.714690149
82,1908,0.702172756
83,1931,0.707595587
84,1954,0.711644292
85,1977,0.712545455
86,2000,0.711266339
87,2023,0.707469046
88,2046,0.709183931
89,2069,0.713419497
90,2092,0.708473325
91,2115,0.700747311
92,2138,0.705667973
93,2161,0.67858237
94,2184,0.714114368
95,2207,0.715824544
96,2230,0.7068578
97,2253,0.709910154
98,2276,0.710531473
99,2299,0.709365845
